ColorCode,DmcName,R,G,B,RGBHex,
5200,Snow White,255,255,255,ffffff,
Ecru,Ecru,240,234,218,f0eada,
445,Lemon Light,255,251,139,fffb8b,
746,Off White,252,252,238,fcfcee,
307,Lemon,253,237,84,fded54,
712,Cream,255,251,239,fffbef,
165,Moss Green Vy Lt,239,244,164,eff4a4,
818,Baby Pink,255,223,217,ffdfd9,
761,Salmon Light,255,201,201,ffc9c9,
605,Cranberry Very Light,255,192,205,ffc0cd,
225,Shell Ppink Ult Vy Lt,255,223,213,ffdfd5,
3824,Apricot Light,254,205,194,fecdc2,
153,Violet Very Light,230,204,217,e6ccd9,
3609,Plum Ultra Light,244,174,213,f4aed5,
603,Cranberry,255,164,190,ffa4be,
956,Geranium,255,145,145,ff9191,
3804,Cyclamen Pink Dark,224,40,118,e02876,
728,Topaz,228,180,104,e4b468,
741,Tangerine Med,255,163,43,ffa32b,
947,Burnt Orange,255,123,77,ff7b4d,
970,Pumpkin Light,247,139,19,f78b13,
720,Orange Spice Dark,229,92,31,e55c1f,
891,Carnation Dark,255,87,115,ff5773,
347,Salmon Very Dark,191,45,45,bf2d2d,
3801,Melon Very Dark,231,73,103,e74967,
600,Cranberry Very Dark,205,47,99,cd2f63,
223,Shell Pink Light,204,132,124,cc847c,
3607,Plum Light,197,73,137,c54989,
718,Plum,156,36,98,9c2462,
817,Coral Red Very Dark,187,5,31,bb051f,
321,Red,199,43,59,c72b3b,
498,Red Dark,167,19,43,a7132b,
814,Garnet Dark,123,0,27,7b001b,
954,Nile Green,136,186,145,88ba91,
164,Forest Green Lt,200,216,184,c8d8b8,
703,Chartreuse,123,181,71,7bb547,
964,Sea Green Light,169,226,216,a9e2d8,
958,Sea Green Dark,62,182,161,3eb6a1,
166,Moss Green Md Lt,192,200,64,c0c840,
907,Parrot Green Lt,199,230,102,c7e666,
905,Parrot Green Dk,98,138,40,628a28,
701,Green Light,63,143,41,3f8f29,
910,Emerald Green Dark,24,126,86,187e56,
909,Emerald Green Vy Dk,21,111,73,156f49,
3812,Sea Green Vy Dk,47,140,132,2f8c84,
3818,Emerald Grn Ult V Dk,17,90,59,115a3b,
986,Forest Green Vy Dk,64,82,48,405230,
3808,Torquoise Ult Vy Dk,54,105,112,366970,
995,Electric Blue Dark,38,150,182,2696b6,
798,Delft Blue Dark,70,106,142,466a8e,
312,Baby Blue Very Dark,53,102,139,35668b,
3840,Lavender Blue Light,176,192,218,b0c0da,
3755,Baby Blue,147,180,206,93b4ce,
322,Baby Blue Dark,90,143,184,5a8fb8,
996,Electric Blue Medium,48,194,236,30c2ec,
3846,Turquoise Bright Light,6,227,230,06e3e6,
3845,Turquoise Bright Med,4,196,202,04c4ca,
210,Lavender Medium,195,159,195,c39fc3,
155,Blue Violet Med Dark,152,145,182,9891b6,
3837,Lavender Ultra Dark,108,58,110,6c3a6e,
3041,Antique Violet Medium,149,111,124,956f7c,
333,Blue Violet Very Dark,92,84,120,5c5478,
550,Violet Very Dark,92,24,78,5c184e,
415,Pearl Gray,211,211,214,d3d3d6,
317,Pewter Gray,108,108,108,6c6c6c,
318,Steel Gray Lt,171,171,171,ababab,
3839,Lavender Blue Med,123,142,171,7b8eab,
3820,Straw Dark,223,182,95,dfb65f,
437,Tan Light,228,187,142,e4bb8e,
435,Brown Very Light,184,119,72,b87748,
610,Drab Brown Dk,121,96,71,796047,
830,Golden Olive Dk,141,120,75,8b784b,
801,Coffee Brown Dk,101,57,25,653919,
301,Mahogany Med,179,95,43,b35f2b,
300,Mahogany Vy Dk,111,47,0,6f2f00,
433,Brown Med,122,69,31,7a451f,
646,Beaver Gray Dk,135,125,115,877d73,
730,Olive Green V Dk,130,123,48,827b30,
469,Avocado Green,114,132,60,72843c,
935,Avocado Green Dk,66,77,33,424d21,
838,Beige Brown Vy Dk,89,73,55,594937,
820,Royal Blue Very Dark,14,54,92,0e365c,
3799,Pewter Gray Vy Dk,66,66,66,424242,
823,Navy Blue Dark,33,48,99,213063,
310,Black,0,0,0,000000,
444,Lemon Dark,255,214,0,ffd600,
304,Red Medium,182,31,51,b71f33,
3850,Green Bright Dk,55,132,119,378477,
